Summary
path index,


Part I,time-dependent travel time
Time,,, 0:00, 0:15, 0:30, 0:45, 1:00, 1:15, 1:30, 1:45, 2:00, 2:15, 2:30, 2:45, 3:00, 3:15, 3:30, 3:45, 4:00, 4:15, 4:30, 4:45, 5:00, 5:15, 5:30, 5:45, 6:00, 6:15, 6:30, 6:45, 7:00, 7:15, 7:30, 7:45, 8:00, 8:15, 8:30, 8:45, 9:00, 9:15, 9:30, 9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,
Path 1, ,travel time,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

Travel Time Tndex,, 0:00, 0:15, 0:30, 0:45, 1:00, 1:15, 1:30, 1:45, 2:00, 2:15, 2:30, 2:45, 3:00, 3:15, 3:30, 3:45, 4:00, 4:15, 4:30, 4:45, 5:00, 5:15, 5:30, 5:45, 6:00, 6:15, 6:30, 6:45, 7:00, 7:15, 7:30, 7:45, 8:00, 8:15, 8:30, 8:45, 9:00, 9:15, 9:30, 9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,
Path 1, ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,

Part II,link sequence

path_id,path_node_sequence
1,1;547;621;620;598;599;597;778;777;767;766;756;753;751;205;,

path_id,link_sequence_no,link_id,from_node_id->to_node_id,from_node_id,to_node_id,name,length,free speed,free-flow travel_time,# of lanes,Lane Saturation Flow Rate,Lane Capacity,Link Type
1,1,1,"[1,547]",1,547,,11198.423,   96,0.000,1, 1800,49500.0,
1,2,988,"[547,621]",547,621,,2548.093,   52,2.940,1, 1800,5500.0,
1,3,1401,"[621,620]",621,620,,2257.427,   51,2.656,1, 1800,3000.0,
1,4,1395,"[620,598]",620,598,,2989.924,   45,3.987,1, 1800,3500.0,
1,5,1274,"[598,599]",598,599,,4142.081,   58,4.285,1, 1800,6500.0,
1,6,1279,"[599,597]",599,597,,4663.879,   61,4.587,1, 1800,3500.0,
1,7,1272,"[597,778]",597,778,,6654.615,   37,10.791,1, 1800,500.0,
1,8,2198,"[778,777]",778,777,,5579.835,   71,4.715,1, 1800,3000.0,
1,9,2192,"[777,767]",777,767,,4747.821,   62,4.595,1, 1800,6000.0,
1,10,2142,"[767,766]",767,766,,4942.655,   81,3.661,1, 1800,3500.0,
1,11,2138,"[766,756]",766,756,,4942.655,   61,4.862,1, 1800,6500.0,
1,12,2087,"[756,753]",756,753,,5300.947,   68,4.677,1, 1800,4500.0,
1,13,2074,"[753,751]",753,751,,4421.065,   60,4.421,1, 1800,8000.0,
1,14,2062,"[751,205]",751,205,,11198.423,   96,0.000,1, 1800,49500.0,
